artist,country,birth date,death date,gender,number of artworks
Maria Lassnig,Austria,1919,2014,female,11
Leslie Hewitt,United States,1977,,female,11
Clare Strand,United Kingdom,1973,,female,11
Gertrude Hermes,United Kingdom,1901,1983,female,11
Kamala Ibrahim Ishag,Sudan,1939,,female,11
Johanna Calle,Colombia,1965,,female,11
Kosuke Araki,Japan,1988,,female,11
Jean Kellogg,United States,1910,1995,female,11
Daniela Haufe,Germany,1966,,female,11
Caroline Bos,Netherlands,1959,,female,11
Catherine Opie,United States,1961,,female,11
Nanako Umemoto,United States,,,female,11
Delia R. Gonzalez,United States,1972,,female,11
Sara Facio,Argentina,1932,2024,female,11
Lieko Shiga,Japan,1980,,female,11
Carla Liss,United States,1944,2012,female,11
Hilde Hubbuch,Germany,1905,1971,female,11
Inka Essenhigh,United States,1969,,female,11
Alice Halicka,Poland,1895,1975,female,11
Jane Hammond,United States,1950,,female,11
Carol Bove,United States,1971,,female,11
Maria Benktzon,Sweden,1946,,female,11
Nicola Tyson,United Kingdom,1960,,female,10
JoAnn Verburg,United States,1950,,female,10
Renée Sintenis,Germany,1888,1965,female,10
Rania Ghosn,Lebanon,1977,,female,10
Ann Fessler,,,,female,10
Marion Weiss,United States,1957,,female,10
Ruth Root,United States,1967,,female,10
Doris Salcedo,Colombia,1958,,female,10
Nancy Graves,United States,1940,1995,female,10
Lynne Cohen,United States,1944,,female,10
Julia Wachtel,United States,1956,,female,10
April Greiman,United States,1948,,female,10
Pushpamala N,India,1956,,female,10
Sonia Švecová,Czech Republic,1946,,female,10
Eva Watson-Schütze,United States,1867,1935,female,10
Laura Grisi,Italy,1939,2017,female,10
Rogi André (Rozsa Klein),Hungary,1905,1970,female,10
Jane Wilson,United States,1924,2015,female,10
Gertrudes Altschul,Brazil,1904,1962,female,10
Carey Young,Zambia,1970,,female,10
Yuki Kimura,Japan,1971,,female,10
Isabel Bishop,United States,1902,1988,female,10
Pae White,United States,1963,,female,10
Fernanda Gomes,Brazil,1960,,female,10
Channa Horwitz,United States,1932,2013,female,10
Dasha Shishkin,United States,1977,,female,10
Valentina Kulagina,Russia,1902,1987,female,10
Noémi Raymond,United States,1889,1980,female,10
Alessandra Sanguinetti,United States,1968,,female,10
Abby Leigh,United States,1948,,female,10
Sylvie Fleury,Switzerland,1961,,female,10
Ketaki Sheth,India,1957,,female,10
Lucia Moholy,United Kingdom,1894,1989,female,10
Amanda Williams,United States,1974,,female,10
Magdalena Abakanowicz,Poland,1930,2017,female,10
Ingeborg Gabriel,Germany,1951,1996,female,10
Ansuya Blom,Netherlands,1956,,female,10
Beatriz Milhazes,Brazil,1960,,female,9
Aenne Biermann,Germany,1898,1933,female,9
Barbara Brändli,Venezuela,1932,2011,female,9
Nancy Rubins,United States,1952,,female,9
Lois Lane,United States,1948,,female,9
Berthe Morisot,France,1841,1895,female,9
Sylvia Plachy,United States,1943,,female,9
Yvonne Rainer,United States,1934,,female,9
Sarah Sze,United States,1969,,female,9
Marcelle Wahl,France,1888,1974,female,9
Berenice Sydney,United Kingdom,1944,1983,female,9
